[ans]	[x]	[op]	[y]
~t117	8	spGET	
~t116	~t115	*	~t117
~t119	16	spGET	
~t118	~t116	+	~t119
~t120	~t118	*	4
~t121	a	ARRGET	~t120
~t121		return	
ENDgetvalue		j	
ENDgetvalue		:	
		raPop	
	4	spFree	
		jr	
convn		:	
	4	spAlloc	VarDef
0	0	spSET	
	4	spAlloc	VarDef
0	0	spSET	
	4	spAlloc	VarDef
	4	spAlloc	VarDef
	4	spAlloc	VarDef
	4	spAlloc	VarDef
1	0	spSET	
	4	spAlloc	VarDef
1	0	spSET	
	4	spAlloc	VarDef
1	0	spSET	
	4	spAlloc	VarDef
1	0	spSET	
	4	spAlloc	(Ra)
		raPush	
label41		:	
~t122	16	spGET	
label42	~t122	!=	1
0	32	spSET	
label43		:	
~t123	12	spGET	
label44	~t123	!=	1
0	20	spSET	
~t124	36	spGET	
~t126	52	spGET	
~t127	~t126	/	2
~t125	~t124	-	~t127
~t125	28	spSET	
label45		:	
~t128	8	spGET	
label46	~t128	!=	1
~t129	32	spGET	
~t131	52	spGET	
~t132	~t131	/	2
~t130	~t129	-	~t132
~t130	24	spSET	
label47		:	
~t133	4	spGET	
label48	~t133	!=	1
		raPush	
	48	spAlloc	(InterQuat)
~t122	0	spPush	(InterQuat)
~t123	4	spPush	(InterQuat)
~t124	8	spPush	(InterQuat)
~t125	12	spPush	(InterQuat)
~t126	16	spPush	(InterQuat)
~t127	20	spPush	(InterQuat)
~t128	24	spPush	(InterQuat)
~t129	28	spPush	(InterQuat)
~t130	32	spPush	(InterQuat)
~t131	36	spPush	(InterQuat)
~t132	40	spPush	(InterQuat)
~t133	44	spPush	(InterQuat)
~t134	88	spGET	
~t135	68	spGET	
		raPush	
	56	spAlloc	(InterQuat)
~t122	0	spPush	(InterQuat)
~t123	4	spPush	(InterQuat)
~t124	8	spPush	(InterQuat)
~t125	12	spPush	(InterQuat)
~t126	16	spPush	(InterQuat)
~t127	20	spPush	(InterQuat)
~t128	24	spPush	(InterQuat)
~t129	28	spPush	(InterQuat)
~t130	32	spPush	(InterQuat)
~t131	36	spPush	(InterQuat)
~t132	40	spPush	(InterQuat)
~t133	44	spPush	(InterQuat)
~t134	48	spPush	(InterQuat)
~t135	52	spPush	(InterQuat)
~t136	148	spGET	
~t137	152	spGET	
~t138	132	spGET	
~t139	128	spGET	
	16	spAlloc	(ParaSize)
~t136	0	spPush	(ParaPush)
~t137	4	spPush	(ParaPush)
~t138	8	spPush	(ParaPush)
~t139	12	spPush	(ParaPush)
getvalue		jal	
~t140		$v0	
	16	spFree	
~t122	0	spGET	(InterQuat)
~t123	4	spGET	(InterQuat)
~t124	8	spGET	(InterQuat)
~t125	12	spGET	(InterQuat)
~t126	16	spGET	(InterQuat)
~t127	20	spGET	(InterQuat)
~t128	24	spGET	(InterQuat)
~t129	28	spGET	(InterQuat)
~t130	32	spGET	(InterQuat)
~t131	36	spGET	(InterQuat)
~t132	40	spGET	(InterQuat)
~t133	44	spGET	(InterQuat)
~t134	48	spGET	(InterQuat)
~t135	52	spGET	(InterQuat)
	56	spFree	(InterQuat)
		raPop	
	12	spAlloc	(ParaSize)
~t134	0	spPush	(ParaPush)
~t135	4	spPush	(ParaPush)
~t140	8	spPush	(ParaPush)
reduce		jal	
~t141		$v0	
	12	spFree	
~t122	0	spGET	(InterQuat)
~t123	4	spGET	(InterQuat)
~t124	8	spGET	(InterQuat)
~t125	12	spGET	(InterQuat)
~t126	16	spGET	(InterQuat)
~t127	20	spGET	(InterQuat)
~t128	24	spGET	(InterQuat)
~t129	28	spGET	(InterQuat)
~t130	32	spGET	(InterQuat)
~t131	36	spGET	(InterQuat)
~t132	40	spGET	(InterQuat)
~t133	44	spGET	(InterQuat)
	48	spFree	(InterQuat)
		raPop	
~t141	20	spSET	
~t142	24	spGET	
~t143	~t142	+	1
~t143	24	spSET	
~t144	24	spGET	
~t145	32	spGET	
~t147	52	spGET	
~t148	~t147	/	2
~t146	~t145	+	~t148
label49	~t144	<	~t146
0	4	spSET	
label49		:	
label47		j	
label48		:	
1	4	spSET	
~t149	28	spGET	
~t150	~t149	+	1
~t150	28	spSET	
~t151	28	spGET	
~t152	36	spGET	
~t154	52	spGET	
~t155	~t154	/	2
~t153	~t152	+	~t155
label51	~t151	<	~t153
0	8	spSET	
label51		:	
label45		j	
label46		:	
1	8	spSET	
~t156	36	spGET	
~t158	48	spGET	
~t157	~t156	*	~t158
~t160	32	spGET	
~t159	~t157	+	~t160
~t161	20	spGET	
~t162	~t159	*	4
~t161	b	ARRSETbyVAR	~t162
~t163	32	spGET	
~t164	~t163	+	1
~t164	32	spSET	
~t165	32	spGET	
~t166	48	spGET	
label53	~t165	<	~t166
0	12	spSET	
label53		:	
label43		j	
label44		:	
1	12	spSET	
~t167	36	spGET	
~t168	~t167	+	1
~t168	36	spSET	
~t169	36	spGET	
~t170	44	spGET	
label55	~t169	<	~t170
0	16	spSET	
label55		:	
label41		j	
label42		:	
0		return	
ENDconvn		j	
ENDconvn		:	
		raPop	
	40	spFree	
		jr	
mymemmove		:	
	4	spAlloc	VarDef
0	0	spSET	
	4	spAlloc	(Ra)
		raPush	
label57		:	
~t171	4	spGET	
~t172	8	spGET	
label58	~t171	>=	~t172
~t173	4	spGET	
~t174	4	spGET	
~t175	~t174	*	4
~t176	b	ARRGET	~t175
~t177	~t173	*	4
~t176	a	ARRSETbyVAR	~t177
~t178	4	spGET	
~t179	~t178	+	1
~t179	4	spSET	
label57		j	
label58		:	
ENDmymemmove		:	
		raPop	
	8	spFree	
		jr	
main		:	
i	0		
myscanf		jal	
~t180		$v0	
c	~t180		
myscanf		jal	
~t181		$v0	
n	~t181		
myscanf		jal	
~t182		$v0	
m	~t182		
myscanf		jal	
~t183		$v0	
arrlen	~t183		
label59		:	
label60	i	>=	arrlen
myscanf		jal	
~t184		$v0	
~t185	i	*	4
~t184	a	ARRSETbyVAR	~t185
~t186	i	+	1
i	~t186		
label59		j	
label60		:	
myscanf		jal	
~t187		$v0	
task	~t187		
i	0		
label61		:	
label62	i	>=	task
myscanf		jal	
~t188		$v0	
~t189	i	*	4
~t188	kernelid	ARRSETbyVAR	~t189
~t190	i	+	1
i	~t190		
label61		j	
label62		:	
i	0		
label63		:	
label64	i	>=	task
~t191	i	*	4
~t192	kernelid	ARRGET	~t191
	16	spAlloc	(ParaSize)
~t192	0	spPush	(ParaPush)
n	4	spPush	(ParaPush)
m	8	spPush	(ParaPush)
c	12	spPush	(ParaPush)
convn		jal	
~t193		$v0	
	16	spFree	
~t194	n	*	m
	4	spAlloc	(ParaSize)
~t194	0	spPush	(ParaPush)
mymemmove		jal	
	4	spFree	
~t195	i	+	1
i	~t195		
label63		j	
label64		:	
i	0		
label65		:	
~t196	n	*	m
label66	i	>=	~t196
~t197	i	*	4
~t198	a	ARRGET	~t197
	4	spAlloc	(ParaSize)
~t198	0	spPush	(ParaPush)
myprintf		jal	
	4	spFree	
~t199	i	+	1
i	~t199		
label65		j	
label66		:	
EndMain		j	
EndMain		:	
